stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
50101,14,Externato Champagnat,,38.77779750,-9.12706800,,,0,,,
50100,13,Externato Champagnat,,38.77785050,-9.12684000,,,0,,,
50103,30,Alto Chapeleiro,,38.78766950,-9.16358300,,,0,,,
14723,20,Av. Dr. Arlindo Vicente,,38.75362350,-9.12593400,,,0,,,
50105,3,Chapeleiro 2,,38.79227250,-9.15756100,,,0,,,
50104,2,Chapeleiro 1,,38.79043450,-9.15971200,,,0,,,
14720,29,Colégio Valsassina,,38.75537450,-9.12637600,,,0,,,
50107,29,Chapeleiro 1,,38.79051050,-9.15977900,,,0,,,
14727,22,B. Flamenga,,38.75227550,-9.12320500,,,0,,,
50106,28,Chapeleiro 2,,38.79241250,-9.15737200,,,0,,,
14726,26,Pq. Bela Vista,,38.75106250,-9.12455000,,,0,,,
50109,31,Av. Pe. Manuel Nóbrega,,38.74298150,-9.13353500,,,0,,,
14725,17,Pq. Bela Vista,,38.75103960,-9.12480000,,,0,,,
50108,1,Estação Roma-Areeiro,,38.74557550,-9.13539000,,,0,,,
14724,20,Av. Dr. Arlindo Vicente,,38.75369850,-9.12602700,,,0,,,
14729,14,Av. Avelino Teixeira Mota (CERCI),,38.75209150,-9.12130800,,,0,,,
14728,18,B. Flamenga,,38.75265750,-9.12299700,,,0,,,
2008,4,Campo Grande,,38.75212150,-9.15124400,,,0,,,
6503,27,Jardim Constantino,,38.73084050,-9.13770500,,,0,,,
50404,38,Outurela (Pav. Carlos Queiroz),,38.72377500,-9.22598000,,,0,,,
50405,2,Outurela (Pav. Carlos Queiroz),,38.72365250,-9.22600100,,,0,,,
50406,11,Cruz Quebrada (Fac. Motricidade Humana),,38.70535750,-9.25234000,,,0,,,
50407,12,Cruz Quebrada (Clube Ténis Jamor),,38.70774350,-9.25151300,,,0,,,
50400,1,Cruz da Pedra,,38.72307950,-9.11554300,,,0,,,
50403,23,Colégio Militar (Metro),,38.75290350,-9.18963400,,,0,,,
7409,12,Lg. Frei Heitor Pinto,,38.75462250,-9.13853100,,,0,,,
50408,1,Olaias,,38.73899650,-9.12326500,,,0,,,
50409,40,R. João Nascimento Costa,,38.73729550,-9.12547400,,,0,,,
3008,17,R. Gen. Fernando Tamagnini,,38.74531150,-9.22199400,,,0,,,
3018,5,Estação Damaia,,38.74812680,-9.21517240,,,0,,,
7503,31,Av. Mar. Gomes Costa (Qta. Teresinhas),,38.76117550,-9.12176700,,,0,,,
7513,17,Av. Brasil (Rot. Relógio),,38.76224550,-9.13025200,,,0,,,
50303,12,Parque Nações Norte,,38.79377050,-9.09754000,,,0,,,
50302,11,Via Oriente,,38.79164250,-9.09920100,,,0,,,
50300,9,Passeio Tejo,,38.78596750,-9.09647500,,,0,,,
50306,7,Passeio Tejo,,38.78584650,-9.09679400,,,0,,,
50305,6,R. Chen He,,38.78876750,-9.09844200,,,0,,,
50304,5,Via Oriente,,38.79207550,-9.09936600,,,0,,,
14120,25,B. Padre Cruz,,38.76924600,-9.18922400,,,0,,,
50309,1,Amoreiras (C. Comercial),,38.72271850,-9.16111400,,,0,,,
50602,18,R. Vale Sto. António / R. Sta. Engrácia,,38.71840800,-9.12300040,,,0,,,
50603,31,R. Instituto Industrial,,38.70834930,-9.15052170,,,0,,,
1409,5,Av. Marquês Tomar,,38.73654550,-9.15058200,,,0,,,
50505,6,R. Particular Arco Carvalhão,,38.72443650,-9.16688300,,,0,,,
50504,7,R. Garcia,,38.72381750,-9.16654300,,,0,,,
1503,13,Pç. Espanha / Av. Berna,,38.73873450,-9.15403500,,,0,,,
50507,17,B. Bela Flor,,38.72459660,-9.16964800,,,0,,,
50506,15,R. D. António Luis Sousa,,38.72511250,-9.16766300,,,0,,,
50501,1,R. Bela Flor,,38.72352550,-9.17093600,,,0,,,
50500,8,R. Gen. Taborda,,38.72872690,-9.16321870,,,0,,,
50503,4,R. D. António Luis Sousa,,38.72531550,-9.16775500,,,0,,,
50502,2,B. Bela Flor,,38.72443860,-9.16918600,,,0,,,
50509,9,R. Leandro Braga,,38.72989550,-9.16439400,,,0,,,
50508,3,Cç. Quintinha,,38.72583630,-9.16893420,,,0,,,
2409,14,Parque Nações Sul,,38.75530600,-9.09685220,,,0,,,
5519,3,Pç. Comércio,,38.70889620,-9.13600870,,,0,,,
21304,19,Montes Claros,,38.71783650,-9.19930300,,,0,,,
21305,6,Pq. Infantil Alvito,,38.72021510,-9.18541460,,,0,,,
21306,23,Pq. Infantil Alvito,,38.71997950,-9.18540260,,,0,,,
21307,7,Estr. Alvito / Al. Keil Amaral,,38.72273280,-9.18659770,,,0,,,
21301,12,Alto Moinhos,,38.72173060,-9.19710900,,,0,,,
21302,20,Alto Moinhos,,38.72207760,-9.19677900,,,0,,,
21303,13,Montes Claros,,38.71773750,-9.19955800,,,0,,,
21308,22,Estr. Alvito / Al. Keil Amaral,,38.72260760,-9.18667260,,,0,,,
4218,2,Algés - Pç. D. Manuel I,,38.69950150,-9.22849100,,,0,,,
4208,30,R. Damião Góis,,38.69835750,-9.22504900,,,0,,,
6607,7,Gomes Freire - R. Joaquim Bonifácio,,38.72809450,-9.14277300,,,0,,,
7509,17,Av. Mar. Gomes Costa (Qta. Teresinhas),,38.76122550,-9.12193900,,,0,,,
7519,28,R. Cidade Quelimane,,38.76576460,-9.12490300,,,0,,,
8018,18,Igreja Sto. Condestável (C. Ourique),,38.71497050,-9.16642700,,,0,,,
8008,13,R. Francisco Metrass,,38.71839250,-9.16624100,,,0,,,
8028,29,Campo Ourique (Prazeres),,38.71425350,-9.16997800,,,0,,,
7607,12,Geofísica,,38.77595250,-9.12636400,,,0,,,
9008,19,Casal Vistoso,,38.74141550,-9.12941400,,,0,,,
1509,4,R. Filipe Mata,,38.74126460,-9.15939800,,,0,,,
7218,49,Olival Basto,,38.78965450,-9.16849600,,,0,,,
1607,13,Sete Rios,,38.74158700,-9.16924400,,,0,,,
12834,15,Qta. Inglesinhos,,38.76331150,-9.18060800,,,0,,,
12835,14,R. Padre Américo,,38.76155050,-9.17982300,,,0,,,
12836,14,R. Padre Américo,,38.76173550,-9.17962500,,,0,,,
12830,11,R. Eugénio Salvador,,38.76770650,-9.18027100,,,0,,,
12831,10,Az. Serrado,,38.76742950,-9.18556800,,,0,,,
12832,14,Az. Serrado,,38.76763950,-9.18538800,,,0,,,
12833,12,R. Virgilio Martinho,,38.76516350,-9.17852700,,,0,,,
8419,21,C. Comercial Olivais - R. Cidade Bissau,,38.76302860,-9.11406300,,,0,,,
8409,19,Cabo Ruivo - Av. Mar. Gomes Costa,,38.75875850,-9.11343300,,,0,,,
8439,3,R. Mocimboa Praia,,38.75869750,-9.11053700,,,0,,,
1208,15,Mq. Pombal - R. Braamcamp,,38.72401550,-9.15089700,,,0,,,
1218,18,R. Sta. Marta,,38.72529150,-9.14602200,,,0,,,
5707,17,Campo Grande - Av. Brasil,,38.75579430,-9.15152700,,,0,,,
1228,27,Mq. Pombal - Av. Fontes P. Melo,,38.72639120,-9.14967100,,,0,,,
8513,10,R. D. João V,,38.72102050,-9.16136600,,,0,,,
6609,19,R. Conde Redondo,,38.72654150,-9.14497500,,,0,,,
9419,23,Lg. Necessidades,,38.70715550,-9.17156840,,,0,,,
3607,22,B. Armador,,38.74624750,-9.11976200,,,0,,,
2218,17,Av. Paulo VI,,38.74825550,-9.10877900,,,0,,,
9503,17,R. Junqueira (Centro Congressos),,38.70003450,-9.18365100,,,0,,,
2208,23,Estação Braço Prata,,38.74717860,-9.10472700,,,0,,,
6707,9,R. Borges Carneiro / Cç. Estrela,,38.71226350,-9.15662100,,,0,,,
7609,14,Gasolineiras,,38.78098650,-9.12483600,,,0,,,
7727,24,R. Mercado,,38.77095750,-9.11713500,,,0,,,
7707,22,Piscina Olivais,,38.76860450,-9.11489900,,,0,,,
7717,25,Esc. Olivais,,38.76528350,-9.10961100,,,0,,,
1609,6,Sete Rios,,38.74144910,-9.16949180,,,0,,,
1619,1,Sete Rios,,38.74131400,-9.17024500,,,0,,,
1707,25,Picoas,,38.73012350,-9.14543400,,,0,,,
19001,1,Centro Sul,,38.66788700,-9.16414100,,,0,,,
4003,14,Alcântara Mar,,38.70287050,-9.17323600,,,0,,,
8519,8,R. D. João V,,38.72105650,-9.16097500,,,0,,,
8509,18,Av. Cons. Fernando Sousa,,38.72521950,-9.15996800,,,0,,,
2707,12,R. B (B. Liberdade),,38.73484850,-9.17042300,,,0,,,
3609,23,Av. Vergílio Ferreira (Fundação Oriente),,38.74352550,-9.11885800,,,0,,,
8607,10,Viaduto Duarte Pacheco,,38.72330720,-9.16642980,,,0,,,
9509,17,Tv. Artur Lamas,,38.69972750,-9.19268200,,,0,,,
3707,19,Av. João Paulo II,,38.74741850,-9.11026700,,,0,,,
3717,7,Av. Paulo VI (Igreja),,38.74307050,-9.11179400,,,0,,,
6023,35,B. Sete Céus,,38.78604660,-9.14992900,,,0,,,
6013,15,R. Melo Antunes,,38.77919820,-9.14467670,,,0,,,
9607,9,R. Jerónimos,,38.69979260,-9.20590800,,,0,,,
6003,37,Qta. Pailepa,,38.78789290,-9.14549380,,,0,,,
7709,23,Av. Berlim / Av. Cidade Luanda,,38.76824450,-9.11118000,,,0,,,
7719,18,Av. Berlim,,38.76694450,-9.11016800,,,0,,,
7003,7,Pç. Paiva Couceiro,,38.73041150,-9.12779600,,,0,,,
7013,25,R. Morais Soares (Cemitério),,38.73061550,-9.12533600,,,0,,,
9208,44,Campo Mártires Pátria,,38.72224050,-9.13988900,,,0,,,
1709,19,Pç. José Fontana,,38.73073960,-9.14376300,,,0,,,
1003,3,Restauradores,,38.71598350,-9.14158800,,,0,,,
2709,13,Serafina,,38.73251150,-9.17179600,,,0,,,
4113,22,Belém (Museu Coches),,38.69737750,-9.19881600,,,0,,,
2053,44,Entrecampos - Av. EUA,,38.74836750,-9.14701200,,,0,,,
8609,28,Arco Carvalhão,,38.72420250,-9.16526200,,,0,,,
2013,23,Entrecampos,,38.74881050,-9.14783900,,,0,,,
2003,25,Entrecampos Norte,,38.74979750,-9.14824500,,,0,,,
3719,16,Av. Paulo VI / R. José Patrocínio,,38.74433550,-9.11076600,,,0,,,
7410,13,Lg. Frei Heitor Pinto,,38.75522450,-9.13918300,,,0,,,
8717,15,B. Monsanto,,38.73278950,-9.19371800,,,0,,,
8707,16,Luneta Quartéis,,38.73146850,-9.19765500,,,0,,,
6019,10,Av. Nuno Krus Abecassis,,38.77962330,-9.15118290,,,0,,,
9609,21,Mosteiro Jerónimos,,38.69733250,-9.20341700,,,0,,,
6009,13,Campo Amoreiras,,38.78550210,-9.14280420,,,0,,,
3003,6,Damaia - R. D. Francisco Almeida,,38.74982830,-9.21288710,,,0,,,
3013,3,Damaia - Av. D. João V,,38.74549890,-9.21783280,,,0,,,
50010,19,R. Prof. João Barreira,,38.76253950,-9.17081300,,,0,,,
50011,5,Telheiras,,38.76057750,-9.16972300,,,0,,,
50012,20,Telheiras,,38.76042780,-9.16951090,,,0,,,
50013,3,R. Prof. Fernando Fonseca,,38.76171550,-9.16518600,,,0,,,
50014,22,R. Prof. Fernando Fonseca,,38.76157260,-9.16507400,,,0,,,
50015,24,Esc. Telheiras,,38.76014650,-9.17440200,,,0,,,
50016,23,Esc. Telheiras,,38.76000820,-9.17408330,,,0,,,
50017,20,Qta. Barros,,38.75572050,-9.16828900,,,0,,,
6123,9,R. Campolide (Escola),,38.73226350,-9.16243200,,,0,,,
6113,26,Campolide,,38.72675710,-9.16236920,,,0,,,
9707,27,Av. Restelo,,38.69933100,-9.21415760,,,0,,,
6103,20,R. Artilharia Um / R. Francisco M. Melo,,38.72756300,-9.15900620,,,0,,,
7009,15,Esc. Nuno Gonçalves,,38.72760950,-9.12820500,,,0,,,
1410,32,Av. Marquês Tomar,,38.73493260,-9.14956500,,,0,,,
7103,29,Conde Barão - Av. D. Carlos I,,38.70889850,-9.15293500,,,0,,,
4502,5,Sul e Sueste,,38.70830250,-9.13335300,,,0,,,
50210,1,Centro Congressos,,38.69966750,-9.18373500,,,0,,,
50216,15,R. Prior / R. Ribeiro Sanches,,38.70625050,-9.16575200,,,0,,,
50218,14,R. Olival,,38.70479350,-9.16657700,,,0,,,
50219,2,Sta. Justa - Lg. Carmo,,38.71205160,-9.13958440,,,0,,,
2410,38,Parque Nações Sul,,38.75502350,-9.09660400,,,0,,,
5502,48,Pç. Comércio,,38.70900050,-9.13532300,,,0,,,
5512,35,Pç. Comércio,,38.70827950,-9.13632360,,,0,,,
